"#","Quantity","Type","Value","PartNumber","RefDes"
"1","65","CAP_0805","0.1u","C0805C104K3RACTU","1WC1, 1WC2, 1WC3, GIOC1, INC, IOC1, IOC2, LCDC3, RS232C1, RS232C2, RS232C3, RS232C4, RS232C5"
"2","16","RJ12","","A-2014-1-4-R","1WIREP"
"3","1","TL412CP","","TL412CP","BOX1"
"4","2","CAP_0805","10u TANT","399-3684-1","C1, C2"
"5","1","MCP23017","","MCP23017-E/SO","GIOU1"
"6","8","PUSHBUT","","RP8400B2M1CECHRBLUNIL","INPUT"
"7","8","MAX6816EUS+T","","MAX6816EUS+T","INU"
"8","2","DS2482S-800","","DS2482S-800","IOU1, IOU2"
"9","2","JP6","","","J_I2C, J_SERIAL"
"10","1","DB9F","","10090098-S094VLF","J_RS232"
"11","16","JP3","","282841-2","JP, OUTJP"
"12","2","CAP_0805","1u","445-5205-1","LCDC1, LCDC2"
"13","1","RES_0805","75","RNCP0805FTD75R0CT","LCDR"
"14","1","NHD-C0220BiZ","","NHD-C0220BiZ-FSW-FBW-3V3M","LCDU"
"15","8","JP2","","","OUTPUT"
"16","8","DDTC113","","DDTC113ZUA-7-F","OUTQ"
"17","8","RES400","","","OUTR1"
"18","1","TERM3","","282841-3","PS1"
"19","1","RASPI","","","RPI"
"20","1","MAX3232ESE","","MAX232ESE+T","RS232U1"
"21","1","LM1117T-3.3","3.3V","LM1117T-3.3/NOPB","U1"
"","154","","","",""
